YEAR,STREET NAME,UNIT #,PROPERTY TYPE,BEDROOM,BATHROOM,MONTHLY RENT ($),SECURITY ($),LEASOR,MAX # of TENANTS,FURNISHED (Y/P/N),WATER (Y/N),TRASH (Y/N)
2000,ABREGO,"2-6,9-34,36-60",,1.0,1,895.0,975.0,KAMAP,,N,,
2000,ABREGO,7,,1.0,1,950.0,2750.0,KAMAP,,N,,
2000,ABREGO,"8,34,35,61",,1.0,1,975.0,2880.0,KAMAP,,N,,
2000,CAMINO CORTO,B,,3.0,2,2750.0,1975.0,KAMAP,,N,,
2000,CAMINO CORTO,A,,3.0,3,2880.0,925.0,KAMAP,,N,,
2000,CAMINO CORTO,"A, B",,2.0,2,1975.0,950.0,KAMAP,,N,,
2000,CORDOBA,"3,8-12,15-20,23-28,31-36",,1.0,1,925.0,975.0,KAMAP,,N,,
2000,CORDOBA,1,,1.0,1,950.0,995.0,KAMAP,,N,,
2000,CORDOBA,"5,6",,1.0,1,975.0,1595.0,KAMAP,,N,,
2000,CORDOBA,"21,22",,1.0,1,995.0,1400.0,KAMAP,,N,,
2000,CORDOBA,"13,14,29,30",,2.0,2,1595.0,1500.0,KAMAP,,N,,
2000,CORDOBA,"1, 2",,2.0,2,1400.0,1500.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,CORDOBA,"3, 4",,2.0,2,1500.0,2500.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,CORDOBA,"A, B",,2.0,1,1350.0,2350.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,CORDOBA,"C, D",,2.0,1,1375.0,2375.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,H,,3.0,3,4500.0,2085.0,BEN&BEV ROBERTS PROP,,N,,
2000,DEL PLAYA,B,,2.0,1,1675.0,2675.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,C,,2.0,1,2085.0,3085.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,A,,3.0,2,2800.0,4300.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,B,,3.0,2,2850.0,4350.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,A,,2.0,2,2150.0,3150.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,B,,2.0,2,2200.0,3200.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,A,,3.0,2,2500.0,4000.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,B,,3.0,2,2550.0,4000.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,A,,2.0,2,1975.0,2975.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,B,,2.0,2,2000.0,3000.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,A,,3.0,2,2500.0,4000.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,B,,3.0,2,2550.0,4050.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,A,,2.0,2,2000.0,3000.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,B,,2.0,2,2050.0,3050.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,A,,2.0,2,2250.0,3250.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,B,,2.0,2,2290.0,3290.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,DEL PLAYA,"A, B",,2.0,1,1700.0,1700.0,BEN&BEV ROBERTS PROP,,N,,
2000,DEL PLAYA,"A, B",,2.0,1,1700.0,1800.0,BEN&BEV ROBERTS PROP,,N,,
2000,DEL PLAYA,"A, B",,2.0,1,1700.0,995.0,BEN&BEV ROBERTS PROP,,N,,
2000,DEL PLAYA,"A, B",,2.0,2,1800.0,1590.0,BEN&BEV ROBERTS PROP,,N,,
2000,EL EMBARCADERO,4,,1.0,1,995.0,1495.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,EL EMBARCADERO,1,,2.0,2,1590.0,2590.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,EL EMBARCADERO,2,,2.0,1,1440.0,2440.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,EL EMBARCADERO,3,,3.0,2,2340.0,3840.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,EL NIDO,1,,2.0,2,1640.0,2640.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,EL NIDO,2,,2.0,1,1525.0,2525.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,EL NIDO,3,,2.0,2,1650.0,2650.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,EL NIDO,4,,2.0,2,1675.0,2675.0,"Bartlein & Company, Inc.",,N,Y,Y
2000,EL NIDO,2,,2.0,1.5,1625.0,1850.0,KAMAP,,N,,
2000,EL NIDO,1,,2.0,2,1700.0,1625.0,KAMAP,,N,,
2000,EL NIDO,"3,4",,2.0,2,1850.0,1850.0,KAMAP,,N,,
2000,EL NIDO,2,,2.0,1.5,1625.0,925.0,KAMAP,,N,,
2000,EL NIDO,"1,3,4",,2.0,2,1850.0,950.0,KAMAP,,N,,
2000,EL NIDO,"5-8,11,12,14",,1.0,1,925.0,975.0,KAMAP,,N,,
2000,EL NIDO,"1,2",,1.0,1,950.0,950.0,KAMAP,,N,,
2000,EL NIDO,"3,9",,1.0,1,975.0,895.0,KAMAP,,N,,
